symbol,price,price_change,price_change_percent,volume,quote_volume,high,low,open,weighted_avg_price,count,timestamp
BTCUSDT,67908.63,62.04,0.091,7581.64915,517189368.2007502,68698.7,67749.59,67846.59,68215.94589361,1644529,2026-02-22 13:15:37
ETHUSDT,1972.18,10.7,0.546,183100.5499,362480596.363148,1995.56,1960.0,1961.48,1979.68054471,1371400,2026-02-22 13:15:37
BNBUSDT,620.28,-6.91,-1.102,79699.637,50038015.1481,634.8,620.0,627.19,627.83240968,493874,2026-02-22 13:15:37
SOLUSDT,84.98,0.49,0.58,1879662.926,160786388.69572,86.72,83.97,84.49,85.54001171,511850,2026-02-22 13:15:37
ADAUSDT,0.2759,-0.0078,-2.749,52816163.2,14853944.2763,0.2865,0.2754,0.2837,0.28123861,78611,2026-02-22 13:15:37
DOTUSDT,1.344,-0.011,-0.812,4507902.0,6169327.4997,1.398,1.342,1.355,1.36855848,36855,2026-02-22 13:15:37
LINKUSDT,8.82,-0.07,-0.787,1730913.36,15429091.0976,9.05,8.79,8.89,8.91384367,31969,2026-02-22 13:15:37
AVAXUSDT,9.01,-0.18,-1.959,1764276.7,16259440.1053,9.45,8.99,9.19,9.21592407,47684,2026-02-22 13:15:37
MATICUSDT,0.3794,-0.0011,-0.289,2834467.3,1074370.70255,0.3806,0.3774,0.3805,0.37903796,4001,2026-02-22 13:15:37
UNIUSDT,3.572,0.011,0.309,3765625.67,13639518.46411,3.694,3.524,3.561,3.62211214,76855,2026-02-22 13:15:37
